main_title,total_seeders,total_leechers,total_peers
The Last of Us: Part II,1602,2834,4436
inZOI,1393,121,1514
Schedule I,1208,45,1253
Schedule I,659,20,679
The Last of Us Part II,501,115,616
Mortal Kombat 1,307,275,582
Schedule I,100,1,101
Commandos: Origins,509,60,569
Blue Prince,786,30,816
BLEACH: Rebirth of Souls [F,410,145,555
South of Midnight,410,150,560
House Party,309,31,340
Schedule I,176,2,178
AI LIMIT,247,57,304
Cities: Skylines II [FitGirl,262,66,328
Schedule I,238,3,241
Schedule I 3 4f4,432,12,444
Venus Vacation PRISM: DEAD OR ALIVE Xtreme,234,19,253
RuneScape: Dragonwilds,303,59,362
Into the Dead: Our Darkest Days 3 10829,144,9,153
Kingdom Come: Deliverance II,41,0,41
The Last of Us Part II Crackfix,80,3,83
Atelier Yumia: The Alchemist of Memories & the Envisioned Land ( 00b/ 00c,263,25,288
Haste [FitGirl,258,17,275
The Invincible,221,26,247
Dave The Diver,323,19,342
Cataclismo,178,3,181
Cities: Skylines - Collection [Fit,124,13,137
Age of Empires IV,277,236,513
Sonic X Shadow Generations,131,18,149
Wreckfest 2,86,9,95
Cyberpunk,218,131,349
Nordhold,64,0,64
"Forever Skies [FitGirl , Selective Downl",312,41,353
South of Midnight,66,14,80
Bleach: Rebirth of Souls,59,42,101
Age of Wonders 4,151,9,160
Squirrel with a Gun,129,12,141
The Last of Us Part II,648,338,986
South of Midnight,80,61,141
American Truck Simulator,115,14,129
KAISERPUNK,149,10,159
The Sims 4,121,83,204
KARMA: The Dark World,75,13,88
Sins of a Solar Empire II [FitGirl Repa,120,6,126
SaGa Frontier 2,118,10,128
Rain World,107,8,115
Myst,122,4,126
S T A L K E R 2: Heart of Chornobyl,18,3,21
"The Talos Principle: Reawakened [FitGirl , Selective Do",149,24,173
"Croc: Legend of the Gobbos - Remaster [FitGirl , Selective Downloa",78,24,102
SnowRunner: 3-Year Anniversary Edition (/Season 15,123,46,169
Marvel's Spider-Man 2 Digital Deluxe Edition,24,0,24
Age of Wonders 4 Giant Kings,38,4,42
Psycho Patrol R,41,0,41
BLEACH Rebirth of Souls-TENOKE,37,9,46
Dark Deity 2,77,6,83
Romancing SaGa 2: Revenge of the Seven [Fi,86,19,105
Grit and Valor - : Resistance Edition,78,3,81
Crashlands 2 [FitGirl,155,16,171
GUILTY GEAR -STRIVE-: Daredevil Edition [FitGir,67,22,89
Atelier Yumia The Alchemist of Memories And the Envisioned Land-TENOKE,21,1,22
Tainted Grail: The Fall of Avalon 9,21,4,25
Commandos Origins,88,12,100
Baldurs Gate 3 1 1 6758295,71,286,357
SNOW BROS 2 SPECIAL,93,2,95
Strike Force 2: Terrorist Hunt,39,3,42
God of War Ragnarok,10,1,11
Nikoderiko: The Magical World - Director's Cut,263,33,296
INAYAH: Life after Gods,92,3,95
Reignbreaker,64,3,67
Dune: Imperium,89,1,90
Spilled!,34,0,34
Nomad Idle 0 0c,42,0,42
Atelier Yumia: The Alchemist of Memories & the Envisioned Land,38,6,44
Sledders,43,4,47
Marvel's Spider-Man 2,14,19,33
Corner Kitchen: Fast Food Simulator,76,3,79
Drive Beyond Horizons,20,3,23
House Builder,57,11,68
LONESTAR,50,0,50
Knock on the Coffin Lid: [F,77,6,83
Orcs Must Die! Deathtrap [FitGirl,54,11,65
Avowed,18,0,18
UBOAT,136,22,158
Commandos: Origins,92,14,106
Them and Us,42,16,58
