title,clean_title,seeders,leechers,total_peers,category
"The Last of Us: Part II - Remastered (v1.0.10402.1014 + DLC + Bonus OST, MULTi24...",The Last of Us: Part II - ( 0 10402 1014,1217,2001,3218,games
inZOI (v20250327.1308.W + MULTi13) [DODI Repack],inZOI,694,78,772,games
Schedule I (v0.3.3f15 + Online Multiplayer) [DODI Repack],Schedule I,1169,55,1224,games
Schedule I v0.3.3f9,Schedule I 3 3f9,659,20,679,games
inZOI (Early Access),inZOI,442,39,481,games
The Last of Us Part II Remastered-RUNE,The Last of Us Part II -RUNE,272,107,379,games
Mortal Kombat 1: Khaos Reigns Kollection (v1.28.0 + All DLCs + Ryujinx/Sudachi S...,Mortal Kombat 1: Khaos Reigns Kollection ( 28 0,307,275,582,games
The Last of Us Part II - Remastered (v1.0.10402.1014 + CrackFix + All DLCs + Bon...,The Last of Us Part II - ( 0 10402 1014,426,921,1347,games
Schedule I v0.3.3f13,Schedule I 3 3f13,100,1,101,games
Blue Prince [FitGirl Repack],Blue Prince,591,17,608,games
Commandos: Origins - Deluxe Edition & Classified Archives (v1.0.0.74101 + 3 DLCs...,Commandos: Origins - Deluxe Edition & Classified Archives ( 0 0 74101,452,53,505,games
"BLEACH: Rebirth of Souls (v1.03/Builds 17746622 + 17819379 + 6 DLCs, MULTi15) [F...",BLEACH: Rebirth of Souls [F,410,145,555,games
"House Party: Supporter Edition (v1.4.0.13093 + 8 DLCs, MULTi10) [FitGirl Repack]",House Party: Supporter Edition,309,31,340,games
"South of Midnight: Premium Edition (v1.1.0-184977 + 2 DLCs/Bonuses, MULTi23) [Fi...",South of Midnight: Premium Edition [Fi,406,188,594,games
"AI LIMIT: Deluxe Edition (+ HotFix + 2 DLCs, MULTi10) [FitGirl Repack]",AI LIMIT: Deluxe Edition,247,57,304,games
Schedule I v0.3.3f14,Schedule I 3 3f14,193,2,195,games
RuneScape: Dragonwilds,RuneScape: Dragonwilds,275,39,314,games
Schedule I v0.3.3f15,Schedule I 3 3f15,232,2,234,games
Schedule I v0.3.4f4,Schedule I 3 4f4,382,12,394,games
Into the Dead: Our Darkest Days v0.3.10829,Into the Dead: Our Darkest Days 3 10829,137,6,143,games
"Tempest Rising: Deluxe Edition (v1.0.0+43454 + 3 DLCs/Bonuses, MULTi10) [FitGirl...",Tempest Rising: Deluxe Edition [FitGirl,1090,809,1899,games
Venus Vacation PRISM: DEAD OR ALIVE Xtreme - Digital Deluxe Edition with Early P...,Venus Vacation PRISM: DEAD OR ALIVE Xtreme - Digital Deluxe Edition with Early P,234,19,253,games
inZOI Update v2025.03.29,inZOI,53,1,54,games
Tempest Rising-RUNE,Tempest Rising-RUNE,277,120,397,games
Mandragora: Whispers of the Witch Tree - Digital Deluxe Edition (v1.2.4.2147 + 9...,Mandragora: Whispers of the Witch Tree - Digital Deluxe Edition ( 2 4 2147,875,208,1083,games
Kingdom Come: Deliverance II Update v1.2.2,Kingdom Come: Deliverance II,41,0,41,games
The Last of Us Part II Remastered Crackfix-RUNE,The Last of Us Part II Crackfix-RUNE,91,3,94,games
"Haste (v1.0.b + Bonus Soundtrack, MULTi10) [FitGirl Repack, Selective Download -...","Haste [FitGirl ,",191,17,208,games
inZOI Update v2025.03.30,inZOI,61,0,61,games
Atelier Yumia: The Alchemist of Memories & the Envisioned Land (v1.00b/v1.00c + ...,Atelier Yumia: The Alchemist of Memories & the Envisioned Land ( 00b/ 00c,263,25,288,games
"Dave The Diver: Deluxe Edition (v1.0.4.1637 + 3 DLCs + Bonus Content, MULTi11) [...",Dave The Diver: Deluxe Edition [,314,17,331,games
The Last of Us Part II Remastered Update v1.0.10407.714,The Last of Us Part II,87,1,88,games
"Cities: Skylines - Collection (v1.19.2-f3 + All DLCs/Bonus Content, MULTi9) [Fit...",Cities: Skylines - Collection [Fit,124,13,137,games
"Age of Empires IV: Ultimate Bundle (v13.0.4343.0 + 6 DLCs/Bonuses, MULTi24) [Fit...",Age of Empires IV: Ultimate Bundle [Fit,217,199,416,games
"Cataclismo (v1.0.0.33.199, MULTi16) [FitGirl Repack]",Cataclismo,178,3,181,games
"Forever Skies (v1.0.0 #39095 + 4 DLCs, MULTi12) [FitGirl Repack, Selective Downl...","Forever Skies [FitGirl , Selective Downl",222,34,256,games
Cyberpunk 2077-CODEX [Ultimate Edition] [v2.21] [ALL DLCs] [Dev Tools] [Multi19],Cyberpunk -CODEX,218,131,349,games
The Last of Us Part II Remastered Update v1.1.10410.0940,The Last of Us Part II,55,0,55,games
Wreckfest 2 (Early Access),Wreckfest 2,29,5,34,games
inZOI Update v2025.04.01,inZOI,39,0,39,games
Nordhold,Nordhold,64,0,64,games
Baldur's Gate 3: Digital Deluxe Edition (v4.1.1.6758295/Patch 8 + DLC/Bonus Cont...,Baldur's Gate 3: Digital Deluxe Edition ( 1 1 6758295/Patch 8,829,2495,3324,games
"Age of Wonders 4: Premium Edition (v1.010.001.105705 + 10 DLCs + Windows 7 Fix, ...",Age of Wonders 4: Premium Edition ( 010 001 105705,159,13,172,games
South of Midnight-RUNE,South of Midnight-RUNE,44,13,57,games
Bleach: Rebirth of Souls - Ultimate Edition (v1.03 + All DLCs + MULTi15) (Fast I...,Bleach: Rebirth of Souls - Ultimate Edition (Fast I,59,42,101,games
Wreckfest 2 [DODI Repack],Wreckfest 2,57,4,61,games
The Last of Us Part II Remastered-RUNE [v1.0.10407.0714.Hotfix.v.1.0.build.18013...,The Last of Us Part II -RUNE [ 0 10407 0714 Hotfix v 1 0 build 18013,639,327,966,games
inZOI Update v2025.04.04,inZOI,46,1,47,games
The Last of Us Part II Remastered Update v1.1.10411.0746,The Last of Us Part II,62,9,71,games
"The Sims 4: Deluxe Edition (v1.113.297.1020 + ONLINE + All DLCs [selectable!], M...",The Sims 4: Deluxe Edition ( 113 297 1020,144,85,229,games
"American Truck Simulator (v1.54.2.3s + 57 DLCs, MULTi41) [FitGirl Repack]",American Truck Simulator,120,19,139,games
South of Midnight: Premium Edition (v1.1.0 + DLC + Bonus Content + MULTi23) (Fro...,South of Midnight: Premium Edition (Fro,77,49,126,games
Baldur’s Gate 3: Digital Deluxe Edition (v4.1.1.6758295 - Patch #8 + All DLCs + ...,Baldur’s Gate 3: Digital Deluxe Edition ( 1 1 6758295 - Patch #8,243,522,765,games
"KAISERPUNK: Supporter Edition (v1.00.002 + DLC + Bonus OST + DLC Fix, MULTi14) [...",KAISERPUNK: Supporter Edition [,149,10,159,games
"Sins of a Solar Empire II (v1.40.14 + Paths to Power DLC, MULTi12) [FitGirl Repa...",Sins of a Solar Empire II [FitGirl Repa,120,6,126,games
