title,clean_title,seeders,leechers,total_peers,category
Mickey.17.2025.1080p.WebRip.X264.COLLECTiVE,Mickey 17 COLLECTiVE,2063,2290,4353,movies
A.Minecraft.Movie.2025.1080p.WORKPRINT.x264.COLLECTiVE,A Minecraft Movie WORKPRINT COLLECTiVE,2745,2669,5414,movies
Black.Bag.2025.1080p.MA.WEB-DL.DDP5.1.x265-NeoNoir,Black Bag MA DDP5 1 -NeoNoir,2087,2613,4700,movies
The.Monkey.2025.1080p.WEBRip.x264.AAC-LAMA,The Monkey -LAMA,2126,618,2744,movies
The.Electric.State.2025.1080p.WEBRip.AAC5.1.10bits.x265-Rapta,The Electric State AAC5 1 10bits -Rapta,845,268,1113,movies
Last.Breath.2025.1080p.WEB-DL.AAC5.1.x265-NeoNoir,Last Breath AAC5 1 -NeoNoir,1533,758,2291,movies
In.the.Lost.Lands.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,In the Lost Lands DDP5 1 -NeoNoir,2148,1013,3161,movies
A Working Man (2025) 720p WEBRip-LAMA,A Working Man -LAMA,2179,3758,5937,movies
Novocaine.2025.1080p.HDRip.Cropped-NoAds.INT.READ.NFO.x264-AMC,Novocaine Cropped-NoAds INT READ NFO -AMC,1480,2024,3504,movies
Cleaner 2025 1080p WEB-DL HEVC x265 5.1 BONE,Cleaner 5 1 BONE,1437,260,1697,movies
Bill.Burr.Drop.Dead.Years.2025.1080p.WEB.H264-AccomplishedYak,Bill Burr Drop Dead Years WEB H264-AccomplishedYak,751,106,857,movies
Sikandar 2025 1080p HQ Telesync V1 NO WM 2.0 Hindi DIGITAL HC ESUB - PANTHER RIP...,Sikandar HQ NO WM 2 0 Hindi DIGITAL ESUB - PANTHER RIP,260,98,358,movies
Mickey 17 2025 1080p WEB-DL HEVC x265 5.1 BONE,Mickey 17 5 1 BONE,3781,4056,7837,movies
Batman.Ninja.vs.Yakuza.League.2025.1080p.WEB-DL.AAC5.1.x265-NeoNoir,Batman Ninja vs Yakuza League AAC5 1 -NeoNoir,663,53,716,movies
Novocaine.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Novocaine DDP5 1 -NeoNoir,1637,1002,2639,movies
Deva 2025 1080p WEB-DL AAC5.1 x265 - xRG,Deva AAC5 1 - xRG,293,39,332,movies
"Officer on Duty (2025) 720p WEBRip x264 AAC [ Hin, Mal ] ESub",Officer on Duty ESub,640,51,691,movies
The Alto Knights 2025 1080p WEB-DL HEVC x265 5.1 BONE,The Alto Knights 5 1 BONE,1923,766,2689,movies
Holland.2025.1080p.AMZN.WEB-DL.DDP5.1.H.265-P2PClub,Holland AMZN DDP5 1 H 265-P2PClub,471,167,638,movies
A.Working.Man.2025.1080p.HDRip.Cam.Audio.READNFO.x264.COLLECTiVE,A Working Man Audio READNFO COLLECTiVE,334,224,558,movies
G20.2025.1080p.DS4K.WEB-DL.DDP5.1.x265-NeoNoir,G20 DS4K DDP5 1 -NeoNoir,1218,622,1840,movies
A Working Man 2025 1080p HDRip (Cam Audio) HEVC x265-RMTeam,A Working Man -RMTeam,807,878,1685,movies
The.Electric.State.2025.1080p.NF.WEB-DL.DDP5.1.H.264-EniaHD,The Electric State NF DDP5 1 H 264-EniaHD,1135,340,1475,movies
Black Bag (2025) Eng 1080p WEBRip x265 AAC ESub,Black Bag ESub,283,289,572,movies
The.Assessment.2024.1080p.WEB-DL.DDP5.1.x265-NeoNoir,The Assessment DDP5 1 -NeoNoir,842,185,1027,movies
Popeye.The.Slayer.Man 2025.1080p.WEB-DL.x264.DD5.1-BobDobbs,Popeye The Slayer Man DD5 1-BobDobbs,635,100,735,movies
Mickey 17 2025 1080p HDRip HEVC x265-RMTeam,Mickey 17 -RMTeam,954,1162,2116,movies
Riff.Raff.2024.1080p.WEBRip.x264.AAC5.1-LAMA,Riff Raff AAC5 1-LAMA,302,59,361,movies
A.Minecraft.Movie.2025.1080p.TeleSync.Brighter.Version.X264.COLLECTiVE,A Minecraft Movie Brighter Version COLLECTiVE,944,435,1379,movies
A.Knights.War.2025.1080p.WEB-DL.AAC5.1.x265-NeoNoir,A Knights War AAC5 1 -NeoNoir,311,29,340,movies
Gunslingers.2025.1080p.WEBRip.x264.AAC5.1-LAMA,Gunslingers AAC5 1-LAMA,1367,371,1738,movies
