title,seeders,leechers,total_peers
"The Last of Us: Part II - Remastered (v1.0.10402.1014 + DLC + Bonus OST, MULTi24...",1565,3749,5314
inZOI (v20250327.1308.W + MULTi13) [DODI Repack],1032,103,1135
inZOI (Early Access),525,40,565
Schedule I v0.3.3f9,932,26,958
"Rise of the Ronin (v1.09 + DLC + Bonus Soundtrack, MULTi21) [FitGirl Repack, Sel...",514,463,977
The Last of Us Part II Remastered-RUNE,385,273,658
Kingdom Come: Deliverance II v1.2,107,33,140
Schedule I v0.3.3f13,104,1,105
Mortal Kombat 1: Khaos Reigns Kollection (v1.28.0 + All DLCs + Ryujinx/Sudachi S...,403,295,698
The Last of Us Part II - Remastered (v1.0.10402.1014 + CrackFix + All DLCs + Bon...,584,1728,2312
Schedule I v0.3.3f14,249,10,259
Kingdom Come: Deliverance II Update v1.2.1,84,1,85
"BLEACH: Rebirth of Souls (v1.03/Builds 17746622 + 17819379 + 6 DLCs, MULTi15) [F...",410,145,555
Rise of the Ronin: Deluxe Edition (v1.09 + Early Purchase Bonus DLC + Bonus Cont...,128,122,250
"Xenoblade Chronicles X: Definitive Edition (v1.0.1 + Ryujinx Switch Emulator, MU...",237,33,270
"Cities: Skylines II (v1.2.5f1 + 16 DLCs + Bonus OSTs, MULTi12) [FitGirl Repack, ...",262,66,328
"AI LIMIT: Deluxe Edition (+ HotFix + 2 DLCs, MULTi10) [FitGirl Repack]",293,44,337
Schedule I v0.3.3f15,403,20,423
The Sims 4: Deluxe Edition (v1.113.291.1020  + All DLCs + Bonus Content + Online...,151,28,179
"House Party: Supporter Edition (v1.4.0.13093 + 8 DLCs, MULTi10) [FitGirl Repack]",467,24,491
"CONTROL: Ultimate Edition (v1.30/517.915 + All DLCs, MULTi13) [FitGirl Repack, S...",140,60,200
"South of Midnight: Premium Edition (v1.1.0-184977 + 2 DLCs/Bonuses, MULTi23) [Fi...",535,401,936
Schedule I (v0.3.3f15 + Online Multiplayer) [DODI Repack],764,38,802
Xenoblade Chronicles X: Definitive Edition [SWITCH],44,7,51
inZOI Update v2025.03.29,55,0,55
Venus Vacation PRISM: DEAD OR ALIVE Xtreme - Digital Deluxe Edition with Early P...,251,39,290
The Last of Us Part II Remastered Crackfix-RUNE,106,7,113
Lossless Scaling v3.1.0.2,62,0,62
Atelier Yumia: The Alchemist of Memories & the Envisioned Land (v1.00b/v1.00c + ...,263,25,288
Kingdom Come: Deliverance II Update v1.2.2,41,0,41
"Tropico 6: El Prez Edition (v.23-1282 + 10 DLCs, MULTi11) [FitGirl Repack, Selec...",109,59,168
The Invincible: Deluxe Edition (v1.6/v44.494 CL_54877 + Bonus Content + Windows ...,221,26,247
inZOI Update v2025.03.30,61,0,61
Zombieville USA 3D [FitGirl Repack],108,2,110
"Cataclismo (v1.0.0.33.199, MULTi16) [FitGirl Repack]",178,3,181
Rise of the Ronin-TENOKE,44,33,77
Wreckfest 2 (Early Access),29,5,34
"Haste (v1.0.b + Bonus Soundtrack, MULTi10) [FitGirl Repack, Selective Download -...",340,35,375
"Cities: Skylines - Collection (v1.19.2-f3 + All DLCs/Bonus Content, MULTi9) [Fit...",157,19,176
"Sonic X Shadow Generations (v1.01 + 4 DLCs + Sudachi Switch Emulator, MULTi11) [...",131,18,149
"Medieval Dynasty: Ultimate Edition (v2.3.0.8 + 4 Bonus Content DLCs, MULTi18) [F...",113,24,137
South of Midnight-RUNE,116,43,159
Bleach: Rebirth of Souls - Ultimate Edition (v1.03 + All DLCs + MULTi15) (Fast I...,59,42,101
Nordhold,70,1,71
Wreckfest 2 [DODI Repack],57,4,61
"Rogue: Genesia (v1.0.0/Release + 2 DLCs, MULTi9) [FitGirl Repack]",131,1,132
"Squirrel with a Gun (v1.5.10.0, MULTi5) [FitGirl Repack]",129,12,141
inZOI Update v2025.04.01,47,0,47
Crusader Kings III v1.15.0 (All DLCs),47,4,51
Cyberpunk 2077-CODEX [Ultimate Edition] [v2.21] [ALL DLCs] [Dev Tools] [Multi19],222,45,267
Avowed Update v1.3,15,1,16
"Age of Wonders 4: Premium Edition (v1.010.001.105705 + 10 DLCs + Windows 7 Fix, ...",243,29,272
Marvel's Spider-Man 2 Digital Deluxe Edition Update v1.312.0.0,20,0,20
"KAISERPUNK: Supporter Edition (v1.00.002 + DLC + Bonus OST + DLC Fix, MULTi14) [...",149,10,159
